Title,Number,Barcode,Author,Summary,Status
The power of six ,F LOR,GRAY37887,"Lore, Pittacus.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
May ,F LOR,GRAY383460,"Lord, Gabrielle.","Here, at last, is the book ""Jo"" wrote. Generations of fans have longed to plumb that first romance, hinted at so captivatingly on the pages of ""Little Women,"" Alcott's autobiographical classic. Now, after nearly one hundred fifty years spent among archived family documents, Louisa May Alcott's debut novel finally reaches its eager public. Set in an English country manor, the story follows the turbulent fortunes of Edith Adelon, an impoverished Italian orphan whose loyalty and beauty win her the patronage of wealthy friends until a jealous rival contrives to rob her of her position. In the locket around her neck, she carries a deep secret about her natural birthright. But an even greater truth lies hidden in Edith's heart - her deep reverence for the kind and noble Lord Percy, the only friend who can save her from the deceitful, envious machinations of Lady Ida. Reminiscent of Jane Austen in its charms, this chaste but stirringly passionate novel affirms the conquering power of both love and courtesy.Written by Louisa in 1849, when she was only 17, this book demonstrates virtue and values in a beautiful way.",Available
February: Conspiracy,F LOR,GRAY383461,"Lord, Gabrielle.","On New Year's Eve, Callum Ormond is chased down the street by a crazed man with a deadly warning: They killed your father. They'll kill you. You must survive the next 365 days!Now he's on the run. The people who killed his father want him dead, and the police are chasing him for a crime he didn't commit. A month has gone by and he's still no nearer to solving the Ormond Riddle, the family secret that has turned his life into a nightmare. Can he trust the mysterious Winter Frey, or will she lead him further into danger? He has 334 days. The clock is ticking...",Available
December ,F LOR 420,GRAY380973,"Lord, Gabrielle.","On New Year's Eve, Cal is chased down the street by a staggering, sick man with a deadly warning They killed your father. They'll kill you. You must survive the next 365 days. Hurled into a life on the run the 15-year-old fugitive is isolated and alone. Hunted by the law and ruthless criminals, Cal must somehow uncover the truth about his father's mysterious death and a history-changing secret. Who can he turn to, who can he trust, when the whole world seems to want him dead? The clock is ticking. Any second could be his last.",Available
Rise of the zombie scarecrows ,F LOU,GRAY37767,"Loughead, Deb,","Dylan is back, and this time he is making a movie, The Rise of the Zombie Scarecrows, with his best friend, Cory, and his girlfriend, Monica. The film is for school credit, and their plan is to film on Halloween. Everything is falling into place until Dylan and Monica encounter a zombie scarecrow that causes Mr. Dalton, a friend of Dylan's grandmother, to have a heart attack. Dylan and Monica learn that a couple of zombie scarecrows are pranking a local neighborhood. The police shut down Dylan's project until the pranksters are caught. But Dylan is determined to see his film through to completion, no matter what the cost.",Available
Wildfire ,F LOU,GRAY381572,"Loughead, Deb,","Bridgewood is having one of the hottest summers on record. Despite the strict fire ban, fires keep breaking out, and it's starting to look like arson. Dylan O'Connor, as usual, is right in the thick of things, and his friend Eliot is questioned as a suspect. Dylan doesn't think Eliot is the culprit, but he does know Eliot has a secret. He has been providing shelter for a scruffy stranger named Jeb Wilder, aka Wildfire. Is Jeb responsible? Or could it be the guy Dylan caught smoking in the woods, local baseball legend Mason Bates? It's up to Dylan to solve the mystery before the fires get out of control.This is the fifth book featuring Dylan and his friends.",Available
The Lord of Tears ,F LOV,GRAY36955,"Lovegrove, James.","In his third duel Tom faces the Lord of Tears, who's as fast as lightning and twice as deadly. Will Tom survive the fight to continue in the Contest? The third book in a thrilling action-packed series bound to captivate reluctant boy readers.",Available
The Lord of the Mountain ,F LOV,GRAY36953,"Lovegrove, James.","Tom Yamada seems like any 15-year-old but he's actually a supreme martial artist, training to face a terrifying challenge when he turns 30. It's his destiny to fight the5 Lords of Pain - demons who have been trying to break into our world for centuries. But something's gone wrong. Tom must face the 5 Lords now - and no way is he ready. If he loses, a new Dark Age will begin. No pressure, then, First in a thrilling five-book series bound to captivate reluctant boy readers.",Available
The Lord of the Void ,F LOV,GRAY36952,"Lovegrove, James.","Tom Yamada must fight the Demon Lords of Pain in a series of duels called the Contest - with the whole world at stake. Tom's survived his duel with the Lord of the Mountain. Now he must face the Lord of the Void - the king of darkness, with a heart as black as his armour. Will Tom manage to defeat this lord?",Available
Number the stars ,F LOW,GRAY22720,"Lowry, Lois.","This classroom-tested Book Club Novel Guide for Number the Stars by Lois Lowry contains a complete thematic unit that focuses on an excellent novel. The guide elaborates on the novel's major themes with related readings, writing activities, and unit projects. An overview of the Book Club program explains how students engage with literature and with each other through the program's unique use of small-group discussions. Detailed daily lesson plans support instruction in comprehension strategies, literary analysis, language conventions, and composition. Actual samples of student work show what you can expect your own students to achieve. Innovative blackline masters support writing, composition, critical thinking, and assessment.",Available
GATHERING BLUE,F LOW,GRAY15449,"LOWRY, LOIS","SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 49-page guide for “Gathering Blue” by Lois Lowry includes detailed chapter summaries and analysis covering 23 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like Mercy and Power.",Available
The giver ,F LOW,GRAY381905,"Lowry, Lois.","The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. This movie tie-in edition features cover art from the movie and exclusive Q&A with members of the cast, including Taylor Swift, Brenton Thwaites and Cameron Monaghan.",Available
Legend,F LU,GRAY382080,"Ashe, Geoffrey","The first full-length comic series in the League of Legends universe, delivering an epic journey through the Freljord! Raised in the savage wilds of the north, Ashe is an Iceborn, a warrior gifted with a magical connection to her frozen homeland--and burdened by her mother's fanatical expectations. When they set out on a dangerous quest for the truth behind an ancient myth, bonds are broken, secrets come to light, and Runeterra is forever changed. Will young Ashe become the leader her people need? Or is destiny merely an empty dream? Available in print for the first time, ASHE: WARMOTHER features the comics debut of Riot Games writer Odin Austin Shafer, with stunning artwork by Russ Manning Most Promising Newcomer Award nominee Nina Vakueva (HEAVY VINYL).",Available
Hidden talents ,F LUB,GRAY381835,"Lubar, David.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
Miracle on 49th Street ,F LUP,GRAY381362,"Lupica, Mike.","In the tradition of About a Boy comes a feel good sports and holiday novel from #1 New York Times bestselling author Mike Lupica.Josh Cameron has it all: a World Championship ring with the Boston Celtics, an MVP award, a clean-cut image, and the adoration of millions. What he doesn't have is family. Until the day 12-year-old smartaleck Molly Parker confronts him in a parking lot and claims to be his daughter—the only daughter of Jen Parker, Josh's college sweetheart and the still the only girl he's ever loved. Trouble is, Jen Parker died last year, and now Molly has tracked down the father she never knew, the one her mother never wanted her to know about. Josh Cameron cares about two things only: himself, and basketball. The last thing this superstar wants or needs is a 12-year-old daughter. Yet this isn't just any 12-year-old. Mr. World Champion has finally met his match.",Available
Travel team ,F LUP ,GRAY35552,"Lupica, Mike","The #1 Bestseller!Twelve-year-old Danny Walker may be the smallest kid on the basketball court -- but don't tell him that. Because no one plays with more heart or court sense. But none of that matters when he is cut from his local travel team, the very same team his father led to national prominence as a boy. Danny's father, still smarting from his own troubles, knows Danny isn't the only kid who was cut for the wrong reason, and together, this washed-up former player and a bunch of never-say-die kids prove that the heart simply cannot be measured.For fans of The Bad News Bears, Hoosiers, the Mighty Ducks, and Mike Lupica's other New York Times bestselling novels Heat, The Underdogs, and Million-Dollar Throw, here is a book that proves that when the game knocks you down, champions stand tall.",Available
The big field ,F LUP,GRAY35084,"Lupica, Mike.","For Hutch, shortstop has always been home. It's where his father once played professionally, before injuries relegated him to watching games on TV instead of playing them. And it's where Hutch himself has always played and starred. Until now. The arrival of Darryl 'D-Will' Williams, the top shortstop prospect from Florida since A-Rod, means Hutch is displaced, in more ways than one. Second base feels like second fiddle, and when he sees his father giving fielding tips to D-Will (the same father who can't be bothered to show up to watch his son play) Hutch feels betrayed. With the summer league championship on the line, just how far is Hutch willing to bend to be a good teammate? Mike Lupica returns to the big field for the first time since his #1 New York Times bestseller Heat and delivers a feel-good home run, showing how love of the game is a language fathers and sons speak from the heart.",Available
Heat ,F LUP,GRAY35597,"Lupica, Mike.","Michael Arroyo has a pitching arm that throws serious heat along with aspirations of leading his team all the way to the Little League World Series. But his firepower is nothing compared to the heat Michael faces in his day-to-day life. Newly orphaned after his father led the family's escape from Cuba, Michael's only family is his seventeen-year-old brother Carlos. If Social Services hears of their situation, they will be separated in the foster-care system--or worse, sent back to Cuba. Together, the boys carry on alone, dodging bills and anyone who asks too many questions. But then someone wonders how a twelve-year-old boy could possibly throw with as much power as Michael Arroyo throws. With no way to prove his age, no birth certificate, and no parent to fight for his cause, Michael's secret world is blown wide open, and he discovers that family can come from the most unexpected sources.",Available
Hero ,F LUP,GRAY35642,"Lupica, Mike.","Fourteen-year-old Zach Harriman can feel the changes. The sharpening of his senses. The incredible strength. The speed, as though he can textmessage himself across miles. The confidence and the strange need to patrol Central Park at night. His dad had been a hero, a savior to America and a confidante of the president. Then he died, and the changes began in Zach. What Zach never knew was that his father was no ordinary man-he was a superhero, battling the world's evil. This is a battle that has been waged for generations and that knows no boundaries. And now it's Zach's turn to take on the fight. It's Zach's turn to become a hero.",Available
Summer ball ,F LUP,GRAY382722,"Lupica, Mike.","The sequel to the #1 New York Times bestseller Travel Team! When you’re the smallest kid playing a big man’s game, the challenges never stop—especially when your name is Danny Walker. Leading your travel team to the national championship may seem like a dream come true, but for Danny, being at the top just means the competition tries that much harder to knock him off. Now Danny’s leaving Middletown for the summer and heading to Right Way basketball camp, where he’s out of his element and maybe out of his league. The country’s best ballers are in attendance, and Danny will need to raise his game if he wants to match up. But it won’t be easy. Old rivals and new battles leave Danny wondering if he really has what it takes to stand tall.",Available
The astonishing adventures of Fanboy & Goth Girl ,F LYG,GRAY18473,"Lyga, Barry.","Fanboy has never had it good, but lately his sophomore year is turning out to be its own special hell. The bullies have made him their favorite target, his best (and only) friend seems headed for the dark side (sports and popularity), and his pregnant mother and the step-fascist are eagerly awaiting the birth of the alien life form known as Fanboy’s new little brother or sister.Fanboy, though, has a secret: a graphic novel he’s been working on without telling anyone, a graphic novel that he is convinced will lead to publication, fame, and—most important of all—a way out of the crappy little town he lives in and all the people that make it hell for him.When Fanboy meets Kyra, a.k.a. Goth Girl, he finds an outrageous, cynical girl who shares his love of comics as well as his hatred for jocks and bullies. Fanboy can’t resist someone who actually seems to understand him, and soon he finds himself willing to heed her advice—to ignore or crush anyone who stands in his way.",Available
Freewill,F LYN,GRAY381468,"Lynch, Chris.","Will knows he is meant to be a pilot. But instead he finds himself with a bunch of kids in wood shop, in a school that's known as Hopeless High. Will doesn't know what he's doing there—or mabye he just doesn't want to admit the truth. Once upon a time he made beautiful things like gnomes, whirligigs, and furniture. Now he's driven to create strange wooden totems—and he doesn't know why.No one knows why local teens are committing suicide, either, one after the other. The deaths all have one thing in common: beautifully carved wooden tributes that appear just after—or just before—the bodies are found. Will's afraid he knows who's responsible for the deaths. And lurking just behind that knowledge is another secret, one so explosive that he might not be able to face it and survive...Part thriller, part mystery, Chris Lynch's newest book is a rollercoaster ride through a passionate young man's psyche—and an unforgettable emotional journey through grief, guilt, and hope from a writer at the height of his powers.About the Author:Chris Lynch is the author of many highly acclaimed books for young adults, including Iceman, Shadow Boxer, and Slot Machine, all ALA Best Books for Young Adults and ALA Recommended Books for Young Readers. He is also the author of Extreme Elvin, the sequel to Slot Machine; Whitechurch; and most recently, Gold Dust.",Available
Freewill ,F LYN,GRAY15691,"Lynch, Chris.","Will knows he is meant to be a pilot. But instead he finds himself with a bunch of kids in wood shop, in a school that's known as Hopeless High. Will doesn't know what he's doing there—or mabye he just doesn't want to admit the truth. Once upon a time he made beautiful things like gnomes, whirligigs, and furniture. Now he's driven to create strange wooden totems—and he doesn't know why.No one knows why local teens are committing suicide, either, one after the other. The deaths all have one thing in common: beautifully carved wooden tributes that appear just after—or just before—the bodies are found. Will's afraid he knows who's responsible for the deaths. And lurking just behind that knowledge is another secret, one so explosive that he might not be able to face it and survive...Part thriller, part mystery, Chris Lynch's newest book is a rollercoaster ride through a passionate young man's psyche—and an unforgettable emotional journey through grief, guilt, and hope from a writer at the height of his powers.About the Author:Chris Lynch is the author of many highly acclaimed books for young adults, including Iceman, Shadow Boxer, and Slot Machine, all ALA Best Books for Young Adults and ALA Recommended Books for Young Readers. He is also the author of Extreme Elvin, the sequel to Slot Machine; Whitechurch; and most recently, Gold Dust.",Available
The highest tide :,F LYN,GRAY17766,"Lynch, Jim,","A straightforward account if the events of the novel, chapter by chapter, with a simple commentary.",Available
Calum Coineanach,F MAC,GRAY17152,"MacLeoid, Domhnall Iain","The story of a rabbit who escapes into the wild while on holiday with the family who looks after him. He enjoys life with the wild rabbits, but the ties with the family are too strong and he rejoins them.",Available
Children of Terra:  The Kids Don't Stand a Chance,F MAC,GRAY383620,"MacLeod, Matty","It's summer vacation for Slark Daniels and his friends in the magic-filled world of Terra, which means they must all go their separate ways for the season. But, their plans of going to sky-ball games, tanning on the beaches, or listening to the radio are suddenly interrupted when 100 years of peace in Terra come to an end!One of their friends, a princess, is in possession of a powerful magical artifact, which is key to Terra's8 peace or its ruin. The kids must band together to rescue their friend from the unknown evil! Are they strong enough to face the trials of a journey? The Children of Terra will have to fight monsters, travel the wilderness, fend off the elements, visit strange cities, fly through the skies, and save each other!",Available
No great mischief ,F MAC,GRAY12728,"MacLeod, Alistair.","SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 68-page guide for “No Great Mischief” by Alistair MacLeod includes detailed chapter summaries and analysis covering 43 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like The Breadth of Family Relationships and The Impact of Language.",Available
The lost salt gift of blood ,F MAC,GRAY12742,"MacLeod, Alistair.","The stories of The Lost Salt Gift of Blood are remarkably simple – a family is drawn together by shared and separate losses, a child’s reality conflicts with his parents’ memories, a young man struggles to come to terms with the loss of his father.Yet each piece of writing in this critically acclaimed collection is infused with a powerful life of its own, a precision of language and a scrupulous fidelity to the reality of time and place, of sea and Maritime farm.Focusing on the complexities and abiding mysteries at the heart of human relationships, the seven stories of The Lost Salt Gift of Blood map the close bonds and impassable chasms that lie between man and woman, parent and child.","September 21, 2022"
Crush ,F MAC,GRAY381699,"Mac, Carrie,","Forest fires, deep-sea diving, exploding buildings, and a crazy government operative. No refunds on this tropical vacation.  ""I never thought I would die by fire. It’s strange, the things that go through your mind, when a massive wall of flame is coming toward you, faster than most people can run. The little girl I was carrying wasn’t so philosophical about it, she was just terrified. I could hear her father crashing through the brush beside me, and I knew he was just as burdened carrying the small boy who was the girl’s sister. It didn’t look like it was going to be a good day for any of us.""  From fire to water, tracker Mac Crow and his bounty hunting friends are searching for a swindler who specializes in stealing seniors' retirement savings. The search leads to the beautiful Hawaiian islands--but it's anything but a vacation. Before they are done, they'll wish they had bought the travel insurance. Thriller action adventure.",Available
"Pendragon, Before the War (#2)",F MAC,GRAY37869,"Sorrells, Walter.","Before Bobby Pendragon. Before Saint Dane. Before the war . . . Every territory of Halla has a Traveler. They lived for yearssome even for decadesbefore learning of their true destiny. What was life like for Bobby Pendragon's fellow Travelers before they joined him in the fight to save every time and place that has ever existed? What led up to their becoming the guardians of Halla? The answers are here! In this first of three thrilling Pendragon prequels, read about Vo Spader's death-defying adventures in the underwater world of Cloral, Gunny Van Dyke's race to find a murderer in 1930's Manhattan on First Earth, and the tough challenges Kasha faced on Eelong well before Bobby Pendragon arrived . . .",Available
"Pendragon, Before the War (#3)",F MAC,GRAY37870,"Sorrells, Walter.","Before Bobby Pendragon. Before Saint Dane. Before the war . . . Every territory of Halla has a Traveler. They lived for yearssome even for decadesbefore learning of their true destiny. What was life like for Bobby Pendragon's fellow Travelers before they joined him in the fight to save every time and place that has ever existed? What led up to their becoming the guardians of Halla? The answers are here! In this first of three thrilling Pendragon prequels, read about Vo Spader's death-defying adventures in the underwater world of Cloral, Gunny Van Dyke's race to find a murderer in 1930's Manhattan on First Earth, and the tough challenges Kasha faced on Eelong well before Bobby Pendragon arrived . . .",Available
The way back ,F MAC,GRAY380953,"Mac, Carrie,","Colby Wyatt has had a rough year. Her dad disappeared, she doesn’t have a place to live, and she’s addicted to meth. Thankfully, her best friend Gigi’s grandma takes her in, and Colby helps out with the family business, selling stolen goods in Gram’s pawnshop--stuff that Colby and Gigi along with Gigi’s brother Milo steal when they break into people’s houses, which Colby is pretty good at.  Now she’s pregnant. Colby doesn’t tell anyone who the dad is. Instead, she checks herself into rehab so she can get clean and figure out how to keep the baby. Though Colby isn’t sure how to make a family, she’s determined to make things work, and she’s sure she can save Gigi too. But sometimes, no matter how hard you wish for something, it just doesn’t come true.",Available
Jacked ,F MAC,GRAY381733,"Mac, Carrie,"," It’s here: Volume One of the official Guys Read Library. Jon Scieszka’s Guys Read initiative was founded on a simple premise: that young guys enjoy reading most when they have reading they can enjoy. And out of this comes a series that aims to give them just that. Ten books, arranged by theme, featuring the best of the best where writing for kids is concerned. Each book is a collection of original short stories, but these aren’t your typical anthologies: each book is edgy, inventive, visual, and one-of-a-kind, featuring a different theme for guys to get excited about. Funny Business is based around the theme of—what else?—humor, and if you’re familiar with Jon and Guys Read, you already know what you’re in store for: ten hilarious stories from some of the funniest writers around. Before you’re through, you’ll meet a teenage mummy; a kid desperate to take a dip in the world’s largest pool of chocolate milk; a homicidal turkey; parents who hand over their son’s room to a biker; the only kid in his middle school who hasn’t turned into a vampire, wizard, or superhero; and more. And the contributor list includes bestselling authors, award winners, and fresh new talent alike: Mac Barnett, Eoin Colfer, Christopher Paul Curtis, Kate DiCamillo (writing with Jon Scieszka), Paul Feig, Jack Gantos, Jeff Kinney, David Lubar, Adam Rex, and David Yoo. Guys Read is all about turning young readers into lifelong ones—and with this book, and each subsequent installment in the series, we aim to leave no guy unturned. ",Available
Confessions of an ugly stepsister ,F MAG,GRAY37450,"Maguire, Gregory","We have all heard the story of Cinderella, the beautiful child cast out to slave among the ashes. But what of her stepsisters, the homely pair exiled into ignominy by the fame of their lovely sibling? What fate befell those untouched by beauty ... and what curses accompanied Cinderella's looks?Set against the backdrop of seventeenth-century Holland, Confessions of an Ugly Stepsister tells the story of Iris, an unlikely heroine who finds herself swept from the lowly streets of Haarlem to a strange world of wealth, artifice, and ambition. Iris's path quickly becomes intertwined with that of Clara, the mysterious and unnaturally beautiful girl destined to become her sister. While Clara retreats to the cinders of the family hearth, Iris seeks out the shadowy secrets of her new household -- and the treacherous truth of her former life.",Available
Wicked,F MAG,GRAY37448,"Maguire, Gregory","Complete text of Legacy and Spellbound in a single volume. Holly Cathers is not the same person she was almost a year and a half ago. After discovering her connection to an ancient legacy of witches, Holly has accepted her destiny as a descendant of the House of Cahors. She is determined to end an intergenerational feud that has plagued her family for centuries.Holly will have to overcome unworldly obstacles as she battles to protect her loved ones -- including Jer, a member of the rival House of Deveraux and her one true love. A war of magical proportions is being waged, and Holly is at the center of it all.Lives will be lost, and sacrifices will have to be made...",Available
Son of a Witch.,F Mag,GRAY37449,"Maguire, Gregory","Liir hid in the shadows of the castle after Dorothy did in the Witch. Left for dead in a gully, the teen is shattered in spirit and body. But silent novice Candle tends him at the Cloister of Saint Glinda, and wills him back to life with her music. What dark force left Liir in this condition? Is he really Elphaba's son? He has her broom and her cape - but what of her powers? Can he find his supposed half-sister, Nor, last seen in the forbidding prison Southstairs? Can he fulfill the last wishes of a dying princess? In an Oz under new and dangerous management, can Liir keep his head down long enough to grow up?",Available
A lion among men ,F MAG,GRAY37451,"Maguire, Gregory.","In this much-anticipated third volume of the Wicked Years, we return to Oz, seen now through the eyes of the Cowardly Lion - the once tiny cub defended by Elphaba in Wicked. While civil war looms, a tetchy oracle named Yackle prepares for death. Before her final hour, an enigmatic figure known as Brrr - the Cowardly Lion - arrives searching for information about Elphaba Thropp, the Wicked Witch of the West. As payment, Yackle demands some answers of her own. Brrr surrenders his story: abandoned as a cub, his earliest memories are gluey hazes, and his life's path is no Yellow Brick Road. A Lion Among Men chronicles a battle of wits hastened by the Emerald City's approaching armies. At once a portrait of a would-be survivor and a panoramic glimpse of a world gone shrill with war fever, Gregory Maguire's new novel is written with the sympathy and power that have made his books contemporary classics.",Available
Lost ,F MAG,GRAY37453,"Wilson, John","Flynn hates the outdoors. Always has. He barely pays attention in his Outdoor Ed class. He has no interest in doing a book report on Lost in the Barrens. He doesn’t understand why anybody would want to go hiking or camping. But when he gets lost in the wilderness behind his parents’ friends’ house, it’s surprising what he remembers—insulate your clothes with leaves, eat snow to stay hydrated, build a shelter, eat lichen—and how hopelessly inept he is at survival techniques.",Available
Out of Oz :,F MAG,GRAY37454,"Maguire, Gregory.","Oz is knotted with social unrest: The Emerald City is mounting an invasion of Munchkinland, Glinda is under house arrest, the Cowardly Lion is on the run from the law, and Dorothy is back. Amid chaos and war, Elphaba’s green granddaughter born at the end of ""Son of a Witch"", comes of age. Rain will take up her broom, and bring the series to a close.",Available
Mirror mirror ,F MAG,GRAY37452,"Maguire, Gregory.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
No man's land ,F MAJ,GRAY381347,"Major, Kevin.","On July 1, 1916, the best and the brightest of a generation of Newfoundland men were virtually wiped out. From every bay and cove and town, from fishing stage to merchant's home, they marched off to the Great War, proud members of their very own Newfoundland Regiment, never suspecting what one terrible morning of treachery would bring. The Battle of Beaumont Hamel is considered the greatest tragedy in Newfoundland and Labrador’s history. Beyond the trenches were lovers and mothers and others who held them dear. The soldiers were part of the immeasurable turmoil of war, yet as they travelled to dangerous and distant lands they were never without the spirit and humour they brought from their homeland. Adapted for stage from the novel of the same name.",Available
Hold fast ,F MAJ,GRAY36804,"Major, Kevin,","Michael turned fourteen in May. By June, both his parents are dead, victims of a car crash. And for Michael, who has lived all his life in a small Newfoundland outport community, this means being suddenly uprooted and sent to live with relatives in St. Albert, a city hundreds of miles away.Hold Fast is the story of Michael's struggle to survive in his new environment. In vivid, honest prose, it depicts his fight against those who stand as threats to his pride in himself and his way of life -- the loud-mouthed Kentson who makes fun of the way he talks at school, and his uncle who tries to rule life at home with an iron hand. It is also the story of the friendship that develops between Michael and Curtis, his cousin, and of his new uncertain feelings for Brenda.",Available
Calling the wind:,F MAJ,GRAY9281,,Pivotal stories from post-slavery days through the Harlem Renaissance and into the nineties.,Available
Dark arrows:,F Man,GRAY6786,,"Road rash and Jack meets handcuffs and street smarts.  I am a wandering disaster. A hedonist, a lover, a son, and a rebel.  My name is Yuma. I’m sober enough to see the need for redemption, but too blind to realize I already found it.  I am an independent seeker. An overachiever, a friend, a misfit, and a cop.  My name is Lissie. I’m determined enough to find acceptance, but too stubborn to see all I need is my own.  We shouldn’t get involved—all the odds are against us—but when bodies turn up on common ground and lines between duty and purpose get blurred, our future becomes clear.   ",Available
Mind over matter ,F MAR,GRAY381887,"Martin, R. T.,","On his sixteenth birthday, Parker discovers he's developed the power of telekinesis. He's excited to use his new ability to stop some high school bullies, forming a ragtag crew with his friends. But after almost hurting someone by accident, Parker questions whether or not he wants to use his powers at all. That is, until a bullying prank goes wrong and one of his friends needs his help. Then Parker will have to decide if interfering is a risk he's willing to take.",Available
Take to the skies ,F MAR,GRAY381888,"Martin, R. T.,","Cassie wakes up on her sixteenth birthday only to realize she's been floating in her sleep. With her brother's help, Cassie learns how to control her new flying power, but she's afraid people will think differently of her if they find out. She's willing to do anything to keep her secret--practicing in the middle of the night, lying to her parents, even blowing off friends. But when a friend is in danger, Cassie must decide whether or not to help, even if taking action means revealing her secret.",Available
Life of Pi,F MAR,GRAY383535,"Martel, Yann","Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",Available
River traffic ,F MAR,GRAY380464,"Martin, Martha,","Sixteen-year-old Tom LeFave is trying to hold his world together. His family's marina is struggling. His dad is full of secrets. And the quarterback of the football team hates his guts. When a huge yacht docks at Tom's marina, things look brighter, especially when he meets Kat, the daughter of the boat's owner. Kat and Tom share a love of rum-running history. It's not long, however, before Tom starts to realize there's something more than history happening on the river. And if Tom can't figure it out in time, he just might be history too.",Available
Riptide ,F MAR,GRAY382407,"Martin, R. T.,","Big waves and competition with other surfers send friends Maya and Paige out to surf the notoriously dangerous and secluded Rippers Cove. Soon the big waves turn into a big storm, and a bad fall leaves Paige too injured to make it back to shore. The friends can ride out the storm on a sandbar, but Maya knows that she needs to get help for Paige right away. To make matters worse, they realize that shark-infested waters stand between them and the safety of the beach!-- ""Journal""",Available
"LOVE, LIES & ALIBIS ",F MAR,GRAY16742,"MARKOWIAK, LINDA","Olivia Kaspen has just discovered that her ex-boyfriend, Caleb Drake, has lost his memory. With an already lousy reputation for taking advantage of situations, Olivia must decide how far she is willing to go to get Caleb back. Wrestling to keep her true identity and their sordid past under wraps, Olivia’s greatest obstacle is Caleb’s wicked, new girlfriend; Leah Smith. It is a race to the finish as these two vipers engage in a vicious tug of war to possess a man who no longer remembers them. But, soon enough Olivia must face the consequences of her lies, and in the process discover that sometimes love falls short of redemption.",Available
A Constellation of Vital Phenomena :,F MAR,GRAY37332,"Marra, Anthony.","SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 50-page guide for “A Constellation Of Vital Phenomena” by Anthony Marra includes detailed chapter summaries and analysis covering 29 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like Morality During Wartime and Gender and Women’s Roles.",Available
A mango-shaped space :,F MAS,GRAY37277,"Mass, Wendy,","Mia Winchell appears to be a typical kid, but she's keeping a big secret—sounds, numbers, and words have color for her. No one knows, and Mia wants to keep it that way. But when trouble at school finally forces Mia to reveal her secret, she must learn to accept herself and embrace her ability, called synesthesia, a mingling of the senses.",Available
A MANGO-SHAPED SPACE,F MAS,GRAY19184,"MASS, WENDY","Mia Winchell appears to be a typical kid, but she's keeping a big secret—sounds, numbers, and words have color for her. No one knows, and Mia wants to keep it that way. But when trouble at school finally forces Mia to reveal her secret, she must learn to accept herself and embrace her ability, called synesthesia, a mingling of the senses.",Available
Lisa,F MAT,GRAY382087,"Yount, Lisa",تاریخ پزشکی، کتابی دیگر از مجموعه تاریخ جهان، به بررسی و شناسایی و درمان بیماری‌ها و پیشگیری از آنها و قدمت علم پزشکی می‌پردازد. براستی اولین درمانگران چه کسانی بودند و چه می‌کردند؟ باستان‌شناسان احتمال می‌دهند که آنان درمان جسمی را با اعتقادات مذهبی می‌آمیختند. بیماری و جراحت اغلب غیرمترقبه‌اند. به همین دلیل، انسان‌های نخستین، همانند مردم بسیاری از تمدن‌های بعدی، بر این عقیده بودند که عامل این بیماری‌ها ارواح شیطانی یا خشم خدایان است. نخستین اطلاعاتی که درباره پزشکی ثبت شده از ناحیه‌ای در عراق امروزی بین رودهای دجله و فرات به دست آمده است. کتاب «تاریخ پزشکی» از تاریخچه ظهور پزشکی، تبدیل شدن این حرفه به علم و موانعی که بر سر راه این حرفه وجود داشته است، برای خوانندگان می‌گوید.,Available
